State,State Abbreviation,County,County Population
Missouri,MO,Worth,2040.0
Missouri,MO,St. Louis city,311273.0
Missouri,MO,Butler,42733.0
Missouri,MO,Holt,4456.0
Missouri,MO,Montgomery,11545.0
Missouri,MO,Stoddard,29512.0
Missouri,MO,Washington,24931.0
Missouri,MO,DeKalb,12564.0
Missouri,MO,Lafayette,32589.0
Missouri,MO,Schuyler,4502.0
Missouri,MO,Camden,45096.0
Missouri,MO,Jasper,119238.0
Missouri,MO,McDonald,22827.0
Missouri,MO,Polk,31549.0
Missouri,MO,Reynolds,6315.0
Missouri,MO,Scott,38729.0
Missouri,MO,Barton,11850.0
Missouri,MO,Cole,76740.0
Missouri,MO,Gasconade,14746.0
Missouri,MO,Macon,15254.0
Missouri,MO,Pemiscot,17031.0
Missouri,MO,Shannon,8246.0
Missouri,MO,Douglas,13374.0
Missouri,MO,Henry,21765.0
Missouri,MO,Lawrence,38133.0
Montana,MT,Custer,11845.0
Montana,MT,Hill,16439.0
Montana,MT,Powder River,1619.0
Montana,MT,Park,16246.0
Montana,MT,Roosevelt,11228.0
Montana,MT,Blaine,6727.0
Montana,MT,Liberty,2280.0
Montana,MT,Richland,11360.0
Montana,MT,Teton,6080.0
Montana,MT,Toole,4976.0
Montana,MT,Fallon,2838.0
Montana,MT,Daniels,1753.0
Montana,MT,Judith Basin,1951.0
Montana,MT,Silver Bow,34814.0
Montana,MT,Deer Lodge,9100.0
Montana,MT,Jefferson,11778.0
Montana,MT,McCone,1630.0
Montana,MT,Wheatland,2149.0
Montana,MT,Rosebud,9250.0
Montana,MT,Carter,1318.0
Montana,MT,Dawson,9191.0
Montana,MT,Broadwater,5834.0
Montana,MT,Lake,29774.0
Montana,MT,Pondera,6044.0
Montana,MT,Yellowstone,157816.0
Montana,MT,Ravalli,41902.0
Montana,MT,Valley,7532.0
Montana,MT,Fergus,11273.0
Montana,MT,Mineral,4211.0
Montana,MT,Petroleum,432.0
Montana,MT,Sanders,11521.0
Montana,MT,Flathead,98082.0
Montana,MT,Wibaux,1175.0
Montana,MT,Meagher,1968.0
Montana,MT,Carbon,10546.0
Montana,MT,Phillips,4124.0
Montana,MT,Chouteau,5789.0
Montana,MT,Lincoln,19358.0
Montana,MT,Treasure,777.0
Montana,MT,Sweet Grass,3653.0
Montana,MT,Prairie,1342.0
Montana,MT,Glacier,13699.0
Montana,MT,Golden Valley,724.0
Montana,MT,Stillwater,9410.0
Montana,MT,Granite,3269.0
Montana,MT,Madison,8218.0
Montana,MT,Sheridan,3574.0
Montana,MT,Big Horn,13376.0
Montana,MT,Garfield,1141.0
Montana,MT,Lewis and Clark,67077.0
Montana,MT,Missoula,115983.0
Montana,MT,Cascade,81746.0
Montana,MT,Powell,6861.0
Montana,MT,Gallatin,104729.0
Montana,MT,Beaverhead,9393.0
Montana,MT,Musselshell,4807.0
Nebraska,NE,Adams,31583.0
Nebraska,NE,Lancaster,310094.0
Nebraska,NE,Boone,5313.0
Nebraska,NE,Rock,1350.0
Nebraska,NE,Banner,696.0
Nebraska,NE,Sherman,3042.0
Nebraska,NE,Richardson,8009.0
Nebraska,NE,Howard,6405.0
Nebraska,NE,Holt,10245.0
Nebraska,NE,Furnas,4786.0
Nebraska,NE,Gosper,2015.0
Nebraska,NE,Saline,14288.0
Nebraska,NE,Sarpy,178351.0
Nebraska,NE,Thurston,7140.0
Nebraska,NE,Washington,20219.0
Nebraska,NE,Boyd,2042.0
Nebraska,NE,Cherry,5790.0
Nebraska,NE,Dodge,36683.0
Nebraska,NE,Fillmore,5574.0
Nebraska,NE,Garden,1860.0
Nebraska,NE,Hooker,691.0
Nebraska,NE,Morrill,4841.0
Nebraska,NE,Nemaha,7004.0
Nebraska,NE,Seward,17127.0
Nebraska,NE,Thomas,645.0
Nebraska,NE,Dakota,20317.0
Nebraska,NE,Webster,3571.0
Nebraska,NE,Antelope,6372.0
Nebraska,NE,Butler,8067.0
Nebraska,NE,Clay,6232.0
Nebraska,NE,Custer,10830.0
Nebraska,NE,Gage,21595.0
Nebraska,NE,Hamilton,9178.0
Nebraska,NE,Kearney,6552.0
Nebraska,NE,Keith,8099.0
Nebraska,NE,Madison,35164.0
Nebraska,NE,Perkins,2907.0
Nebraska,NE,Saunders,21024.0
Nebraska,NE,Wayne,9367.0
Nebraska,NE,Keya Paha,792.0
Nebraska,NE,Knox,8460.0
Nebraska,NE,Lincoln,35433.0
Nebraska,NE,Pierce,7157.0
Nebraska,NE,Sioux,1266.0
Nebraska,NE,Cass,25702.0
Nebraska,NE,Dixon,5746.0
Nebraska,NE,Dundy,2023.0
Nebraska,NE,Greeley,2410.0
Nebraska,NE,Hall,61343.0
Nebraska,NE,Otoe,15896.0
Nebraska,NE,Red Willow,10806.0
Nebraska,NE,Dawes,8896.0
Nebraska,NE,Cheyenne,9852.0
Nebraska,NE,Dawson,23804.0
Nebraska,NE,Valley,4224.0
Nebraska,NE,McPherson,454.0
Nebraska,NE,Nance,3554.0
Nebraska,NE,Stanton,5992.0
Nebraska,NE,Harlan,3438.0
Nebraska,NE,Blaine,480.0
Nebraska,NE,Buffalo,49030.0
Nebraska,NE,Deuel,1894.0
Nebraska,NE,Hitchcock,2843.0
Nebraska,NE,Platte,33063.0
Nebraska,NE,Thayer,5098.0
Nebraska,NE,Box Butte,11089.0
Nebraska,NE,Sheridan,5234.0
Nebraska,NE,Nuckolls,4275.0
Nebraska,NE,Frontier,2609.0
Nebraska,NE,Douglas,554992.0
Nebraska,NE,Chase,3734.0
Nebraska,NE,Arthur,418.0
Nebraska,NE,Franklin,3006.0
Nebraska,NE,Jefferson,7188.0
Nebraska,NE,Loup,585.0
Nebraska,NE,Phelps,9120.0
Nebraska,NE,Scotts Bluff,36255.0
Nebraska,NE,Kimball,3667.0
Nebraska,NE,Merrick,7803.0
Nebraska,NE,Burt,6528.0
Nebraska,NE,Cuming,8991.0
Nebraska,NE,Grant,718.0
Nebraska,NE,Hayes,943.0
Nebraska,NE,Cedar,8523.0
Nebraska,NE,Johnson,5197.0
Nebraska,NE,Garfield,1975.0
Nebraska,NE,Pawnee,2676.0
Nebraska,NE,Wheeler,822.0
Nebraska,NE,York,13799.0
Nebraska,NE,Colfax,10760.0
Nebraska,NE,Logan,886.0
Nebraska,NE,Polk,5255.0
Nebraska,NE,Brown,2988.0
Nevada,NV,Churchill,24010.0
Nevada,NV,Douglas,47828.0
Nevada,NV,Pershing,6611.0
