State,State Abbreviation,State Population,Positive,Negative,Total_Test_Results,Hospitalized,Recovered,Death,Date_Checked
Colorado,CO,5531141.0,12256,44533,56789,2366.0,0.0,674,2020-04-25T02:32:00Z
Michigan,MI,9957488.0,36641,99655,136296,0.0,3237.0,3085,2020-04-24T20:17:00Z
Minnesota,MN,5527358.0,3185,50602,53787,756.0,1594.0,221,2020-04-24T21:03:00Z
