County,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,Population
Wayne (MI),26163.0,42.28098405,-83.281255,14994,1396,0,13598,1761382.0
Hennepin-Ramsey (MN),54176.0,90.02386792,-186.57567189999997,1367,137,0,1230,1776971.0
