Population,County,State,Abbreviation
2040.0,Worth,Missouri,MO
311273.0,St. Louis city,Missouri,MO
42733.0,Butler,Missouri,MO
4456.0,Holt,Missouri,MO
11545.0,Montgomery,Missouri,MO
29512.0,Stoddard,Missouri,MO
24931.0,Washington,Missouri,MO
12564.0,DeKalb,Missouri,MO
32589.0,Lafayette,Missouri,MO
4502.0,Schuyler,Missouri,MO
45096.0,Camden,Missouri,MO
119238.0,Jasper,Missouri,MO
22827.0,McDonald,Missouri,MO
31549.0,Polk,Missouri,MO
6315.0,Reynolds,Missouri,MO
38729.0,Scott,Missouri,MO
11850.0,Barton,Missouri,MO
76740.0,Cole,Missouri,MO
14746.0,Gasconade,Missouri,MO
15254.0,Macon,Missouri,MO
17031.0,Pemiscot,Missouri,MO
8246.0,Shannon,Missouri,MO
13374.0,Douglas,Missouri,MO
21765.0,Henry,Missouri,MO
38133.0,Lawrence,Missouri,MO
11845.0,Custer,Montana,MT
16439.0,Hill,Montana,MT
1619.0,Powder River,Montana,MT
16246.0,Park,Montana,MT
11228.0,Roosevelt,Montana,MT
6727.0,Blaine,Montana,MT
2280.0,Liberty,Montana,MT
11360.0,Richland,Montana,MT
6080.0,Teton,Montana,MT
4976.0,Toole,Montana,MT
2838.0,Fallon,Montana,MT
1753.0,Daniels,Montana,MT
1951.0,Judith Basin,Montana,MT
34814.0,Silver Bow,Montana,MT
9100.0,Deer Lodge,Montana,MT
11778.0,Jefferson,Montana,MT
1630.0,McCone,Montana,MT
2149.0,Wheatland,Montana,MT
9250.0,Rosebud,Montana,MT
1318.0,Carter,Montana,MT
9191.0,Dawson,Montana,MT
5834.0,Broadwater,Montana,MT
29774.0,Lake,Montana,MT
6044.0,Pondera,Montana,MT
157816.0,Yellowstone,Montana,MT
41902.0,Ravalli,Montana,MT
7532.0,Valley,Montana,MT
11273.0,Fergus,Montana,MT
4211.0,Mineral,Montana,MT
432.0,Petroleum,Montana,MT
11521.0,Sanders,Montana,MT
98082.0,Flathead,Montana,MT
1175.0,Wibaux,Montana,MT
1968.0,Meagher,Montana,MT
10546.0,Carbon,Montana,MT
4124.0,Phillips,Montana,MT
5789.0,Chouteau,Montana,MT
19358.0,Lincoln,Montana,MT
777.0,Treasure,Montana,MT
3653.0,Sweet Grass,Montana,MT
1342.0,Prairie,Montana,MT
13699.0,Glacier,Montana,MT
724.0,Golden Valley,Montana,MT
9410.0,Stillwater,Montana,MT
3269.0,Granite,Montana,MT
8218.0,Madison,Montana,MT
3574.0,Sheridan,Montana,MT
13376.0,Big Horn,Montana,MT
1141.0,Garfield,Montana,MT
67077.0,Lewis and Clark,Montana,MT
115983.0,Missoula,Montana,MT
81746.0,Cascade,Montana,MT
6861.0,Powell,Montana,MT
104729.0,Gallatin,Montana,MT
9393.0,Beaverhead,Montana,MT
4807.0,Musselshell,Montana,MT
31583.0,Adams,Nebraska,NE
310094.0,Lancaster,Nebraska,NE
5313.0,Boone,Nebraska,NE
1350.0,Rock,Nebraska,NE
696.0,Banner,Nebraska,NE
3042.0,Sherman,Nebraska,NE
8009.0,Richardson,Nebraska,NE
6405.0,Howard,Nebraska,NE
10245.0,Holt,Nebraska,NE
4786.0,Furnas,Nebraska,NE
2015.0,Gosper,Nebraska,NE
14288.0,Saline,Nebraska,NE
178351.0,Sarpy,Nebraska,NE
7140.0,Thurston,Nebraska,NE
20219.0,Washington,Nebraska,NE
2042.0,Boyd,Nebraska,NE
5790.0,Cherry,Nebraska,NE
36683.0,Dodge,Nebraska,NE
5574.0,Fillmore,Nebraska,NE
1860.0,Garden,Nebraska,NE
691.0,Hooker,Nebraska,NE
4841.0,Morrill,Nebraska,NE
7004.0,Nemaha,Nebraska,NE
